Tray #,well number,sample type,sample ID,tin weight,total weight,sample weight,% Carbon,% Nitrogen, δC13,δ N15,C:N,ques
Tray 1 Juanes Hagfish 2019,E8,liver,LE-LIV-51,18.292,19.358,1.066,45.04,13.18,-16.2,17.26,3.42,FALSE
Tray 1 Juanes Hagfish 2019,E9,liver,LE-LIV-52,18.289,19.328,1.039,45.48,13.06,-16.22,17.52,3.48,FALSE
Tray 1 Juanes Hagfish 2019,E10,liver,LE-LIV-53,18.862,19.894,1.032,43.95,12.75,-16.56,16.05,3.45,FALSE
Tray 1 Juanes Hagfish 2019,E11,liver,LE-LIV-54,18.684,19.692,1.008,44.19,12.92,-16.97,15.88,3.42,FALSE
Tray 1 Juanes Hagfish 2019,E12,liver,LE-LIV-55,18.568,19.656,1.088,46.26,13.44,-16.14,17.6,3.44,FALSE
Tray 1 Juanes Hagfish 2019,F1,standard,dogfish liver,NA,NA,1.071,48.59,8.95,-17.58,14.91,5.43,FALSE
Tray 1 Juanes Hagfish 2019,F2,liver,LE-LIV-56,18.585,19.589,1.004,44.55,12.87,-16.51,16.55,3.46,FALSE
Tray 1 Juanes Hagfish 2019,F3,liver,LE-LIV-57,18.858,19.938,1.08,42.54,11.84,-16.66,15.62,3.59,FALSE
Tray 1 Juanes Hagfish 2019,F4,liver,LE-LIV-58,18.92,19.931,1.011,42.82,12.67,-15.18,16.69,3.38,FALSE
Tray 1 Juanes Hagfish 2019,F5,liver,LE-LIV-59,18.743,19.764,1.021,45.34,13.36,-15.34,17.37,3.39,FALSE
Tray 1 Juanes Hagfish 2019,F6,liver,LE-LIV-60,18.896,19.899,1.003,43.95,12.38,-16.47,16.86,3.55,FALSE
Tray 1 Juanes Hagfish 2019,F7,liver,LE-LIV-61,18.819,19.888,1.069,44.09,13.07,-16.08,15.56,3.37,FALSE
Tray 1 Juanes Hagfish 2019,F8,liver,LE-LIV-62,18.755,19.803,1.048,44.65,12.97,-16.36,16.83,3.44,FALSE
Tray 1 Juanes Hagfish 2019,F9,liver,LE-LIV-63,18.662,19.752,1.09,45.65,13.22,-16.65,15.38,3.45,FALSE
Tray 1 Juanes Hagfish 2019,F10,liver,LE-LIV-64,18.718,19.795,1.077,42.95,12.83,-18.36,14.7,3.35,FALSE
Tray 1 Juanes Hagfish 2019,F11,liver,LE-LIV-65,18.689,19.714,1.025,43.96,12.87,-17.6,14.52,3.42,FALSE
